Trigram,Frequency
"('keeps', 'falling', 'asleep')",4
"('keep', 'monitoring', 'breathing')",4
"('back', 'shortly', 'okay')",4
"('right', 'thank', 'problem')",4
"('questions', 'partner', 'going')",4
"('okay', 'yeah', 'old')",4
"('theyve', 'already', 'dispatched')",4
"('10351', 'sawmill', 'parkway')",4
"('need', 'come', 'front')",4
"('much', 'thank', 'byebye')",4
"('get', 'dont', 'know')",4
"('dont', 'see', 'blood')",4
"('right', 'short', 'breath')",4
"('okay', 'couple', 'questions')",4
"('right', 'thats', 'fine')",4
"('okay', 'yeah', 'right')",4
"('phone', 'number', 'yes')",4
"('look', 'real', 'quick')",4
"('real', 'quick', 'get')",4
"('whats', 'best', 'entrance')",4
"('get', 'hospital', 'okay')",4
"('medications', 'give', 'paramedics')",4
"('right', 'thanks', 'bye')",4
"('green', 'meadows', 'drive')",4
"('didnt', 'hit', 'head')",4
"('long', 'ago', 'happen')",4
"('five', 'minutes', 'ago')",4
"('ahead', 'give', 'call')",4
"('theres', 'domestic', 'violence')",4
"('state', 'country', 'recently')",4
"('wear', 'medical', 'wear')",4
"('comfortably', 'dont', 'give')",4
"('okay', 'anyone', 'house')",4
"('8875', 'green', 'meadows')",4
"('phone', 'number', 'uh')",4
"('okay', 'partner', 'started')",4
"('breathing', 'anything', 'like')",4
"('yeah', 'yeah', 'thank')",4
"('mean', 'dont', 'need')",4
"('hurt', 'breathe', 'hes')",4
"('unless', 'hes', 'diabetic')",4
"('time', 'okay', 'okay')",4
"('know', 'many', 'stairs')",4
"('bleeding', 'anything', 'like')",4
"('thats', 'im', 'calling')",4
"('avenue', 'okay', 'whats')",4
"('calling', '911', 'address')",4
"('get', 'worse', 'give')",4
"('okay', 'long', 'ago')",4
"('us', 'call', 'okay')",4
"('state', 'country', 'nope')",4
"('okay', 'okay', 'weve')",4
"('ive', 'trying', 'get')",4
"('cant', 'even', 'move')",4
"('cough', 'fever', 'covid')",4
"('fever', 'covid', 'symptoms')",4
"('tinley', 'park', 'circle')",4
"('currently', 'conscious', 'right')",4
"('able', 'go', 'ahead')",4
"('sitting', 'tell', 'exert')",4
"('go', 'ahead', 'stay')",4
"('get', 'front', 'door')",4
"('ok', 'much', 'weigh')",4
"('okay', 'yeah', 'im')",4
"('call', 'back', 'let')",4
"('medics', 'know', 'okay')",4
"('okay', 'need', 'get')",4
"('breathing', 'okay', 'okay')",4
"('okay', 'shes', 'breathing')",4
"('588', 'jefferson', 'drive')",4
"('prior', 'becoming', 'short')",4
"('becoming', 'short', 'breath')",4
"('let', 'rest', 'whatever')",4
"('severe', 'pain', 'hes')",4
"('know', 'like', 'said')",3
"('like', 'said', 'help')",3
"('much', 'weigh', '200')",3
"('address', 'emergency', 'sorry')",3
"('right', 'well', 'like')",3
"('im', 'sitting', 'driveway')",3
"('keep', 'eye', 'okay')",3
"('thats', 'going', 'make')",3
"('shes', 'conscious', 'yes')",3
"('conscious', 'yes', 'right')",3
"('yes', 'right', 'old')",3
"('disconnected', 'phone', 'number')",3
"('whats', 'going', 'kendra')",3
"('shortness', 'breath', 'yes')",3
"('number', 'im', 'sorry')",3
"('got', 'phone', 'call')",3
"('breathing', 'anyone', 'quarantined')",3
"('arrive', 'give', 'us')",3
"('sure', 'youre', 'fine')",3
"('street', 'whats', 'name')",3
"('okay', 'yeah', 'hes')",3
"('kind', 'medical', 'alert')",3
"('wear', 'kind', 'medical')",3
"('hes', 'got', 'pain')",3
"('sure', 'shes', 'moving')",3
"('medics', 'started', 'questions')",3
"('complaining', 'pain', 'illness')",3
"('okay', 'alright', 'like')",3
"('shes', 'moving', 'dont')",3
"('whats', 'name', 'taylor')",3
"('125', 'griswold', 'street')",3
"('normal', 'bowel', 'movement')",3
"('dispatch', 'medic', 'okay')",3
"('15', 'minutes', 'ago')",3
"('breathe', 'dont', 'think')",3
"('breath', 'theres', 'hard')",3
"('okay', 'think', 'need')",3
"('lake', 'street', 'yes')",3
"('back', 'ive', 'got')",3
"('oh', 'yeah', 'said')",3
"('come', 'back', 'house')",3
"('stuff', 'im', 'trying')",3
"('tell', 'every', 'time')",3
"('breaking', 'stuff', 'im')",3
"('dont', 'know', 'say')",3
"('household', 'suffering', 'covid')",3
"('anybody', 'household', 'suffering')",3
"('okay', 'anybody', 'household')",3
"('ah', 'bye', 'bye')",3
"('home', 'coffee', 'shortness')",3
"('anybody', 'home', 'coffee')",3
"('broken', 'legs', 'bedridden')",3
"('heart', 'problems', 'know')",3
"('way', 'theyre', 'coming')",3
"('help', 'im', 'sorry')",3
"('actually', 'see', 'happened')",3
"('oh', 'god', 'yes')",3
"('okay', 'still', 'house')",3
"('anymore', 'yeah', 'walked')",3
"('screaming', 'anymore', 'yeah')",3
"('hear', 'screaming', 'anymore')",3
"('couldnt', 'hear', 'screaming')",3
"('sure', 'couldnt', 'hear')",3
"('make', 'sure', 'couldnt')",3
"('house', 'okay', 'want')",3
"('still', 'house', 'okay')",3
"('leave', 'nah', 'still')",3
"('house', 'leave', 'nah')",3
"('still', 'house', 'leave')",3
"('reason', 'okay', 'still')",3
"('walked', 'away', 'came')",3
"('crazy', 'reason', 'okay')",3
"('acting', 'crazy', 'reason')",3
"('started', 'acting', 'crazy')",3
"('came', 'started', 'acting')",3
"('happened', 'came', 'started')",3
"('see', 'happened', 'came')",3
"('mean', 'didnt', 'actually')",3
"('nobody', 'mean', 'didnt')",3
"('theyre', 'fine', 'nobody')",3
"('residence', 'coffee', 'shortness')",3
"('fine', 'nobody', 'mean')",3
"('yeah', 'walked', 'away')",3
"('away', 'came', 'back')",3
"('drink', 'right', 'okay')",3
"('im', 'going', 'call')",3
"('give', 'anything', 'else')",3
"('try', 'give', 'anything')",3
"('man', 'like', 'said')",3
"('dispatched', 'guys', 'front')",3
"('medics', 'guys', 'said')",3
"('shes', 'eating', 'drinking')",3
"('2972', 'warrensburg', 'road')",3
"('symptoms', 'okay', 'medics')",3
"('going', 'need', 'help')",3
"('shes', 'going', 'need')",3
"('1389', 'dale', 'ford')",3
"('faith', 'okay', 'thank')",3
"('came', 'back', 'bedroom')",3
"('faith', 'okay', 'alright')",3
"('staying', 'alright', 'theyre')",3
"('im', 'staying', 'alright')",3
"('stay', 'im', 'staying')",3
"('want', 'stay', 'im')",3
"('thats', 'want', 'stay')",3
"('well', 'thats', 'want')",3
"('night', 'alright', 'well')",3
"('ive', 'night', 'alright')",3
"('bedroom', 'ive', 'night')",3
"('back', 'bedroom', 'ive')",3
"('day', 'okay', 'right')",3
"('keep', 'calm', 'way')",3
"('rest', 'whatever', 'positions')",3
"('whatever', 'positions', 'comfortable')",3
"('know', 'shes', 'going')",3
"('1106', 'boulder', 'drive')",3
"('talking', 'sounds', 'like')",3
"('shes', 'talking', 'sounds')",3
"('drive', 'okay', 'okay')",3
"('55', 'east', 'reindeer')",3
"('house', 'type', 'covid19')",3
"('anybody', 'house', 'type')",3
"('seem', 'like', 'shes')",3
"('okay', 'right', 'changes')",3
"('last', 'time', 'saw')",3
"('pain', 'anywhere', 'uh')",3
"('comfortable', 'get', 'anything')",3
"('okay', 'okay', 'partner')",3
"('much', 'appreciate', 'help')",3
"('right', 'well', 'rest')",3
"('difficulty', 'breathing', 'hes')",3
"('hes', 'injured', 'way')",3
"('cant', 'get', 'hes')",3
"('youre', 'calling', 'whats')",3
"('traveled', 'state', 'country')",3
"('going', 'get', 'sheriffs')",3
"('prairie', 'run', 'drive')",3
"('position', 'okay', 'okay')",3
"('yes', 'okay', 'medics')",3
"('hes', 'got', 'little')",3
"('hes', 'laying', 'floor')",3
"('dont', 'know', 'whether')",3
"('breath', 'okay', 'complaints')",3
"('anything', 'unless', 'shes')",3
"('room', 'okay', 'yeah')",3
"('outside', 'theater', 'country')",3
"('started', 'im', 'going')",3
"('go', 'anything', 'gets')",3
"('calm', 'way', 'im')",3
"('seated', 'try', 'keep')",3
"('stay', 'seated', 'try')",3
"('try', 'stay', 'seated')",3
"('right', 'try', 'stay')",3
"('prior', 'falling', 'okay')",3
"('yes', 'okay', 'fall')",3
"('diabetic', 'gather', 'medications')",3
"('medics', 'dispatched', 'right')",3
"('yes', 'okay', 'yeah')",3
"('okay', 'okay', 'conscious')",3
"('six', 'one', 'four')",3
"('village', 'drive', 'delaware')",3
"('liberty', 'road', 'north')",3
"('dont', 'know', 'took')",3
"('drugs', 'alcohol', 'involved')",3
"('335', 'chelsea', 'street')",3
"('okay', 'well', 'dispatched')",3
"('paramedics', 'anything', 'changes')",3
"('obvious', 'injuries', 'like')",3
"('know', 'hit', 'head')",3
"('hit', 'head', 'dont')",3
"('able', 'talk', 'yes')",3
"('said', 'medics', 'route')",3
"('nope', 'history', 'fever')",3
"('country', 'nope', 'history')",3
"('yeah', 'okay', 'history')",3
"('pain', 'anywhere', 'said')",3
"('shes', 'able', 'get')",3
"('whats', 'going', 'wife')",3
"('number', 'case', 'need')",3
"('right', 'bye', 'bye')",3
"('well', 'help', 'route')",3
"('619', 'heritage', 'boulevard')",3
"('im', 'im', 'sorry')",3
"('alright', 'thanks', 'bye')",3
"('used', 'okay', 'right')",3
"('fine', 'know', 'much')",3
"('yes', 'yeah', 'okay')",3
"('calling', 'dont', 'know')",3
"('let', 'go', 'well')",3
"('like', 'hes', 'getting')",3
"('drive', 'correct', 'yes')",3
"('im', 'afraid', 'move')",3
"('calling', 'case', 'get')",3
"('shes', 'still', 'okay')",3
"('drink', 'anything', 'changes')",3
"('right', 'thank', 'alright')",3
"('west', 'powell', 'road')",3
"('right', 'well', 'let')",3
"('medications', 'gather', 'list')",3
"('yeah', 'right', 'well')",3
"('thinks', 'shes', 'broken')",3
"('yes', 'okay', 'youre')",3
"('want', 'fall', 'okay')",3
"('get', 'okay', 'yes')",3
"('deep', 'breath', 'okay')",3
"('okay', 'take', 'deep')",3
"('im', 'sorry', 'problem')",3
"('already', 'started', 'way')",3
"('theyre', 'already', 'started')",3
"('yep', 'theyre', 'already')",3
"('hes', 'fine', 'know')",3
"('exactly', 'happened', 'father')",3
"('would', 'say', 'okay')",3
"('hes', 'injured', 'hes')",3
"('keep', 'calm', 'comfortable')",3
"('thank', 'okay', 'okay')",3
"('okay', 'okay', 'breathing')",3
"('know', 'doesnt', 'know')",3
"('doesnt', 'know', 'doesnt')",3
"('call', 'back', 'otherwise')",3
"('time', 'im', 'sorry')",3
"('complaining', 'pain', 'anywhere')",3
"('get', 'dont', 'want')",3
"('yeah', 'theyre', 'fine')",3
"('okay', 'shes', 'got')",3
"('ones', 'living', 'room')",3
"('tops', '60', 'maple')",3
"('weve', 'got', 'kind')",3
"('thats', 'thats', 'okay')",3
"('unlocked', 'front', 'door')",3
"('door', 'unlocked', 'front')",3
"('want', 'move', 'around')",3
"('want', 'speak', 'officer')",3
"('said', 'got', 'couple')",3
"('like', 'said', 'got')",3
"('come', 'dont', 'know')",3
"('trying', 'leave', 'im')",3
"('injuries', 'cuts', 'bruising')",3
"('obvious', 'injuries', 'cuts')",3
"('back', 'thank', 'youre')",3
"('circle', 'delaware', 'ohio')",3
"('yep', 'thank', 'bye')",3
"('okay', 'yeah', 'ill')",3
"('right', 'shes', 'right')",3
"('keep', 'door', 'locked')",3
"('route', 'okay', 'thank')",3
"('okay', 'abdominal', 'pain')",3
"('know', 'think', 'got')",3
"('got', 'nothing', 'hide')",3
"('aint', 'got', 'nothing')",3
"('didnt', 'know', 'going')",3
"('apartment', 'number', 'one')",3
"('left', 'side', 'okay')",3
"('side', 'okay', 'okay')",3
"('okay', 'well', 'partners')",3
"('right', 'hold', 'one')",3
"('emergency', 'mean', 'tops')",3
"('dressed', 'emergency', 'mean')",3
"('cycle', 'video', '911')",3
"('cycle', 'cycle', 'video')",3
"('station', 'yeah', 'okay')",3
"('inhaler', 'anything', 'like')",3
"('im', 'short', 'breath')",3
"('one', 'hes', 'got')",3
"('around', 'dont', 'know')",3
"('know', 'hes', 'going')",3
"('hes', 'police', 'officer')",3
"('way', 'theyll', 'come')",3
"('well', 'partners', 'gon')",3
"('okay', 'alright', 'weve')",3
"('court', 'powell', 'ohio')",3
"('west', 'central', 'avenue')",3
"('51', 'west', 'central')",3
"('hes', 'little', 'bit')",3
"('comfortable', 'nothing', 'eat')",3
"('position', 'comfortable', 'nothing')",3
"('okay', 'alright', 'help')",3
"('dont', 'know', 'guys')",3
"('experiencing', 'problems', 'right')",3
"('yeah', 'cant', 'breathe')",3
"('bye', 'oh', 'yeah')",3
"('okay', 'im', 'trying')",3
"('house', 'dont', 'know')",3
"('im', 'getting', 'medic')",3
"('okay', 'sounds', 'good')",3
"('ahead', 'call', 'back')",3
"('like', 'go', 'ahead')",3
"('anything', 'like', 'go')",3
"('going', 'come', 'check')",3
"('able', 'get', 'okay')",3
"('go', 'get', 'one')",3
"('ahead', 'let', 'medics')",3
"('yeah', 'okay', 'yeah')",3
"('feet', 'yeah', 'okay')",3
"('600', 'white', 'rock')",3
"('right', 'im', 'getting')",3
"('okay', 'well', 'definitely')",3
"('7385', 'clancy', 'way')",3
"('remove', 'becomes', 'soaked')",3
"('dont', 'remove', 'becomes')",3
"('thank', 'yeah', 'go')",3
"('drink', 'let', 'rest')",3
"('injuries', 'dont', 'give')",3
"('ask', 'questions', 'currently')",3
"('started', 'need', 'ask')",3
"('medic', 'started', 'need')",3
"('cant', 'pick', 'injured')",3
"('name', 'name', 'leon')",3
"('address', 'emergency', 'think')",3
"('hes', 'acting', 'strange')",3
"('number', '740', '272')",3
"('know', 'okay', 'well')",3
"('shes', 'bleeding', 'anywhere')",3
"('28', 'persons', 'avenue')",3
"('splint', 'injuries', 'nothing')",3
"('yes', 'inside', 'house')",3
"('know', 'okay', 'hes')",3
"('like', 'short', 'breath')",3
"('okay', 'old', '83')",3
"('go', 'ahead', 'talk')",3
"('heart', 'problems', 'hes')",3
"('dont', 'know', 'ok')",3
"('right', 'shes', 'sitting')",3
"('like', 'said', 'partners')",3
"('hurt', 'dont', 'think')",3
"('already', 'started', 'medics')",3
"('partners', 'already', 'started')",3
"('911', 'get', 'ambulance')",3
"('call', '911', 'get')",3
"('sit', 'breathe', 'yes')",3
"('trouble', 'breathing', 'yes')",3
"('beep', 'address', 'emergency')",3
"('beep', 'beep', 'address')",3
"('en', 'route', 'theyre')",3
"('okay', 'violent', 'okay')",3
"('cant', 'tell', 'okay')",3
"('mean', 'tops', '60')",3
"('60', 'maple', 'street')",3
"('bedroom', 'ones', 'living')",3
"('maple', 'street', 'asap')",3
"('weapons', 'involved', 'unless')",3
"('bedroom', 'weapons', 'involved')",3
"('back', 'bedroom', 'weapons')",3
"('yeah', 'im', 'back')",3
"('another', 'yeah', 'yeah')",3
"('one', 'another', 'yeah')",3
"('away', 'one', 'another')",3
"('right', 'away', 'one')",3
"('separated', 'right', 'away')",3
"('guys', 'separated', 'right')",3
"('stupid', 'guys', 'separated')",3
"('act', 'stupid', 'guys')",3
"('drunk', 'act', 'stupid')",3
"('wants', 'drunk', 'act')",3
"('kids', 'wants', 'drunk')",3
"('little', 'kids', 'wants')",3
"('front', 'little', 'kids')",3
"('face', 'front', 'little')",3
"('dripping', 'face', 'front')",3
"('blood', 'dripping', 'face')",3
"('got', 'blood', 'dripping')",3
"('face', 'got', 'blood')",3
"('hit', 'face', 'got')",3
"('screaming', 'slammed', 'door')",3
"('yelling', 'screaming', 'slammed')",3
"('involved', 'unless', 'count')",3
"('unless', 'count', 'door')",3
"('count', 'door', 'slammed')",3
"('kids', 'house', '3')",3
"('ones', 'bedroom', 'ones')",3
"('kids', 'ones', 'bedroom')",3
"('order', 'kids', 'ones')",3
"('two', 'order', 'kids')",3
"('bedroom', 'two', 'order')",3
"('babys', 'bedroom', 'two')",3
"('bedroom', 'babys', 'bedroom')",3
"('ones', 'bedroom', 'babys')",3
"('right', 'ones', 'bedroom')",3
"('3', 'right', 'ones')",3
"('house', '3', 'right')",3
"('many', 'kids', 'house')",3
"('door', 'slammed', 'face')",3
"('drinks', 'many', 'kids')",3
"('couple', 'drinks', 'many')",3
"('alcohol', 'couple', 'drinks')",3
"('drugs', 'alcohol', 'couple')",3
"('alcohol', 'drugs', 'alcohol')",3
"('drinking', 'alcohol', 'drugs')",3
"('drugs', 'drinking', 'alcohol')",3
"('using', 'drugs', 'drinking')",3
"('said', 'shes', 'drinking')",3
"('face', 'said', 'shes')",3
"('slammed', 'face', 'said')",3
"('started', 'yelling', 'screaming')",3
"('broken', 'started', 'yelling')",3
"('came', 'broken', 'started')",3
"('hit', 'face', 'face')",3
"('7404176649', 'whats', 'name')",3
"('called', '7404176649', 'whats')",3
"('youve', 'called', '7404176649')",3
"('eat', 'thank', 'whats')",3
"('probably', 'eat', 'thank')",3
"('ill', 'probably', 'eat')",3
"('medic', 'ill', 'probably')",3
"('need', 'medic', 'ill')",3
"('place', 'need', 'medic')",3
"('bleeding', 'place', 'need')",3
"('face', 'bleeding', 'place')",3
"('watching', 'slammed', 'door')",3
"('name', 'face', 'bloody')",3
"('thanks', 'watching', 'slammed')",3
"('really', 'thanks', 'watching')",3
"('really', 'really', 'thanks')",3
"('face', 'bleeding', 'really')",3
"('fucking', 'face', 'face')",3
"('hit', 'fucking', 'face')",3
"('girlfriend', 'hit', 'fucking')",3
"('go', 'girlfriend', 'hit')",3
"('going', 'go', 'girlfriend')",3
"('asap', 'whats', 'going')",3
"('street', 'asap', 'whats')",3
"('whats', 'name', 'face')",3
"('face', 'bloody', 'thats')",3
"('bedroom', 'came', 'broken')",3
"('video', 'name', 'name')",3
"('stayed', 'bedroom', 'came')",3
"('earlier', 'stayed', 'bedroom')",3
"('cops', 'earlier', 'stayed')",3
"('bedroom', 'cops', 'earlier')",3
"('back', 'bedroom', 'cops')",3
"('right', 'back', 'bedroom')",3
"('im', 'right', 'back')",3
"('lechter', 'im', 'right')",3
"('david', 'lechter', 'im')",3
"('name', 'david', 'lechter')",3
"('name', 'name', 'david')",3
"('tape', 'video', 'name')",3
"('bloody', 'thats', 'youre')",3
"('thing', 'tape', 'video')",3
"('whole', 'thing', 'tape')",3
"('got', 'whole', 'thing')",3
"('yerr', 'got', 'whole')",3
"('video', 'yerr', 'got')",3
"('name', 'video', 'yerr')",3
"('whats', 'name', 'video')",3
"('psycho', 'whats', 'name')",3
"('fucking', 'psycho', 'whats')",3
"('youre', 'fucking', 'psycho')",3
"('thats', 'youre', 'fucking')",3
"('yep', 'yep', 'yep')",3
"('teach', 'marked', 'still')",3
"('five', 'minutes', 'okay')",3
"('anywhere', 'else', 'see')",3
"('well', 'en', 'route')",3
"('cant', 'walk', 'cant')",3
"('895', 'retreat', 'lane')",3
"('physician', 'directed', 'use')",3
"('143', 'west', 'central')",3
"('happen', 'okay', 'whats')",3
"('vehicle', 'happen', 'okay')",3
"('back', 'vehicle', 'happen')",3
"('dispatch', 'back', 'vehicle')",3
"('going', 'dispatch', 'back')",3
"('something', 'partners', 'going')",3
"('head', 'something', 'partners')",3
"('face', 'hit', 'head')",3
"('scrape', 'face', 'hit')",3
"('like', 'scrape', 'face')",3
"('looks', 'like', 'scrape')",3
"('good', 'looks', 'like')",3
"('feel', 'good', 'looks')",3
"('saying', 'doesnt', 'feel')",3
"('keeps', 'saying', 'doesnt')",3
"('telling', 'happened', 'keeps')",3
"('really', 'telling', 'happened')",3
"('hes', 'really', 'telling')",3
"('bloody', 'hes', 'really')",3
"('mouth', 'bloody', 'hes')",3
"('seem', 'like', 'hes')",3
"('knees', 'cant', 'get')",3
"('pressure', 'clean', 'dry')",3
"('gets', 'worse', 'anyway')",3
"('shes', 'shortness', 'breath')",3
"('shes', 'fine', 'okay')",3
"('lot', 'trouble', 'breathing')",3
"('next', 'door', 'okay')",3
"('emergency', 'northwest', 'transfer')",3
"('address', 'emergency', 'northwest')",3
"('minutes', 'ago', 'half')",3
"('couple', 'minutes', 'ago')",3
"('ago', 'okay', 'think')",3
"('breathe', 'shortness', 'breath')",3
"('okay', 'yeah', 'shes')",3
"('fall', 'know', 'caused')",3
"('6167', 'tournament', 'drive')",3
"('ive', 'got', 'lot')",3
"('hear', 'im', 'sorry')",3
"('shes', 'sitting', 'floor')",3
"('known', 'diabetic', 'okay')",3
"('540', 'executive', 'boulevard')",3
"('alright', 'ill', 'let')",3
"('youre', 'able', 'answer')",3
"('questions', 'youre', 'able')",3
"('real', 'weak', 'cant')",3
"('hes', 'real', 'weak')",3
"('en', 'route', 'already')",3
"('yeah', 'mouth', 'bloody')",3
"('injuries', 'yeah', 'mouth')",3
"('obvious', 'injuries', 'yeah')",3
"('im', 'strong', 'enough')",3
"('tuesday', 'last', 'tuesday')",3
"('like', 'youre', 'breathing')",3
"('okay', 'pain', 'illness')",3
"('route', 'guys', 'okay')",3
"('problem', 'yes', 'okay')",3
"('okay', 'right', 'help')",3
"('number', 'called', 'phone')",3
"('move', 'around', 'unless')",3
"('falling', 'okay', 'alright')",3
"('lost', 'consciousness', 'okay')",3
"('never', 'lost', 'consciousness')",3
"('many', 'stairs', 'fall')",3
"('clean', 'dry', 'towel')",3
"('yes', 'okay', 'tell')",3
"('street', 'yes', 'okay')",3
"('breath', 'cant', 'tell')",3
"('delaware', 'crossing', 'east')",3
"('one', 'second', 'youre')",3
"('uh', 'uh', 'uh')",3
"('get', 'information', 'ok')",3
"('old', 'husband', 'hes')",3
"('like', 'get', 'car')",3
"('dont', 'believe', 'okay')",3
"('nasal', 'careful', '27')",3
"('168', 'east', 'central')",3
"('blood', 'coming', 'mouth')",3
"('right', 'see', 'obvious')",3
"('wrecked', 'scooter', 'dont')",3
"('im', 'right', 'see')",3
"('sir', 'yeah', 'im')",3
"('right', 'sir', 'yeah')",3
"('mouth', 'right', 'sir')",3
"('bloody', 'mouth', 'right')",3
"('crying', 'bloody', 'mouth')",3
"('yard', 'crying', 'bloody')",3
"('hes', 'yard', 'crying')",3
"('home', 'hes', 'yard')",3
"('know', 'got', 'home')",3
"('scooter', 'dont', 'know')",3
"('apparently', 'wrecked', 'scooter')",3
"('hes', 'got', 'pulse')",3
"('son', 'apparently', 'wrecked')",3
"('drive', 'son', 'apparently')",3
"('wheatfield', 'drive', 'son')",3
"('431', 'wheatfield', 'drive')",3
"('yeah', 'youre', 'fine')",3
"('sure', 'alright', 'like')",3
"('thats', 'something', 'speak')",3
"('able', 'get', 'car')",3
"('911', 'see', 'emergency')",3
"('right', 'tell', 'exactly')",3
"('lift', 'assist', 'okay')",3
"('mmm', 'mmm', 'mmm')",3
"('county', 'transfer', 'going')",3
"('right', 'thank', 'okay')",3
"('polaris', 'parkway', 'apartment')",3
"('going', 'right', 'shes')",3
"('get', 'ok', 'ok')",3
"('174', 'village', 'gate')",3
"('run', 'circle', 'east')",3
"('maam', 'couldnt', 'hear')",3
"('sorry', 'maam', 'couldnt')",3
"('im', 'sorry', 'maam')",3
"('go', 'sit', 'couch')",3
"('still', 'im', 'still')",3
"('5095', 'clark', 'shaw')",3
"('talk', 'guy', 'talk')",3
"('alright', 'talk', 'guy')",3
"('okay', 'alright', 'talk')",3
"('hello', 'okay', 'alright')",3
"('floor', 'hello', 'okay')",3
"('cant', 'floor', 'hello')",3
"('still', 'cant', 'floor')",3
"('ugh', 'ugh', 'ugh')",3
"('address', 'emergency', 'ugh')",3
"('okay', 'well', 'im')",3
"('really', 'really', 'dont')",3
"('issues', 'besides', 'chf')",3
"('right', 'front', '80')",3
"('233', 'brindle', 'road')",3
"('yesterday', 'dont', 'know')",3
"('cant', 'move', 'hes')",3
"('im', 'probably', 'going')",3
"('door', 'unlocked', 'unlock')",3
"('edna', 'going', 'go')",3
"('youre', 'able', 'go')",3
"('north', 'parkway', 'drive')",3
"('244', 'north', 'parkway')",3
"('us', 'know', 'shes')",3
"('letting', 'us', 'know')",3
"('shes', 'letting', 'us')",3
"('dower', 'court', 'road')",3
"('2533', 'dower', 'court')",3
"('hes', 'got', 'multiple')",3
"('really', 'really', 'severe')",3
"('thank', 'okay', 'youre')",3
"('transfer', 'edna', 'going')",3
"('verify', 'spoke', 'someone')",3
"('school', 'transfer', 'edna')",3
"('high', 'school', 'transfer')",3
"('come', 'high', 'school')",3
"('theyll', 'come', 'high')",3
"('go', 'get', 'checked')",3
"('youre', 'going', 'ok')",3
"('youre', 'going', 'okay')",3
"('boulevard', 'whats', 'phone')",3
"('get', 'name', 'please')",3
"('experiencing', 'pain', 'symptoms')",3
"('okay', 'experiencing', 'pain')",3
"('whats', 'going', 'get')",3
"('5947', 'red', 'bank')",3
"('options', 'see', 'figure')",3
"('yes', 'okay', 'history')",3
"('coming', 'fast', 'okay')",3
"('15', 'joy', 'avenue')",3
"('hard', 'breathe', 'right')",3
"('going', 'help', 'theyre')",3
"('delay', 'going', 'help')",3
"('going', 'delay', 'going')",3
"('8260', 'horseshoe', 'road')",3
"('partners', 'getting', 'medics')",3
"('okay', 'partners', 'getting')",3
"('already', 'en', 'route')",3
"('guys', 'traveled', 'outside')",3
"('appropriately', 'yes', 'okay')",3
"('great', 'thank', 'much')",3
"('okay', 'alright', 'ever')",3
"('sorry', 'im', 'nervous')",3
"('takes', 'anything', 'changes')",3
"('right', 'gather', 'medications')",3
"('okay', 'injuries', 'correct')",3
"('questions', 'okay', 'yes')",3
"('work', 'getting', 'medics')",3
"('going', 'work', 'getting')",3
"('anybody', 'household', 'covid')",3
"('dont', 'think', 'thank')",3
"('parkway', 'apartment', '304')",3
"('fast', 'okay', 'okay')",3
"('10186', 'bremar', 'drive')",3
"('talk', 'options', 'see')",3
"('shortness', 'breath', 'hurt')",3
"('guys', 'talk', 'options')",3
"('right', 'shes', 'going')",3
"('im', 'calling', 'house')",3
"('three', 'days', 'okay')",3
"('phone', 'number', 'im')",3
"('somebody', 'else', 'already')",3
"('questions', 'help', 'understand')",3
"('6515', 'pullman', 'drive')",3
"('im', 'going', 'start')",3
"('residence', 'cost', 'fever')",3
"('anybody', 'residence', 'cost')",3
"('10350', 'adams', 'road')",3
"('alright', 'right', 'thank')",3
"('cant', 'really', 'get')",3
"('well', 'dispatched', 'route')",3
"('okay', 'hard', 'time')",3
"('yeah', 'would', 'like')",3
"('sit', 'sit', 'sit')",3
"('keep', 'eye', 'closed')",3
"('getting', 'little', 'bit')",3
"('keep', 'phone', 'isnt')",3
"('assaulted', 'last', 'night')",3
"('yeah', 'whats', 'phone')",3
"('needs', 'help', 'getting')",3
"('thank', 'nasal', 'careful')",3
"('narcan', 'thank', 'nasal')",3
"('milligrams', 'narcan', 'thank')",3
"('eight', 'milligrams', 'narcan')",3
"('camera', 'transferred', 'state')",3
"('get', 'camera', 'transferred')",3
"('let', 'get', 'camera')",3
"('lot', 'let', 'get')",3
"('parking', 'lot', 'let')",3
"('theyre', 'parking', 'lot')",3
"('semi', 'theyre', 'parking')",3
"('yeah', 'semi', 'theyre')",3
"('scene', 'yeah', 'semi')",3
"('still', 'scene', 'yeah')",3
"('theyre', 'still', 'scene')",3
"('last', 'theyre', 'still')",3
"('cars', 'last', 'theyre')",3
"('last', 'dont', 'think')",3
"('cars', 'last', 'dont')",3
"('uh', 'dont', 'think')",3
"('injured', 'uh', 'dont')",3
"('anyone', 'injured', 'uh')",3
"('know', 'anyone', 'injured')",3
"('okay', 'know', 'anyone')",3
"('way', 'okay', 'know')",3
"('seabed', 'way', 'okay')",3
"('semi', 'seabed', 'way')",3
"('light', 'semi', 'seabed')",3
"('red', 'light', 'semi')",3
"('transferred', 'state', 'highway')",3
"('state', 'highway', 'patrol')",3
"('highway', 'patrol', 'way')",3
"('transfer', 'going', 'right')",3
"('auto', 'accident', 'go')",3
"('noninjury', 'auto', 'accident')",3
"('pocket', 'noninjury', 'auto')",3
"('approach', 'pocket', 'noninjury')",3
"('road', 'approach', 'pocket')",3
"('line', 'road', 'approach')",3
"('south', 'south', 'section')",3
"('42', 'south', 'south')",3
